State Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,latitude,longitude,name,desc
AL,7.67,8.07,8.35,8.66,8.98,9.19,9.36,9.58,9.91,9.91,10.46,10.84,10.84,10.98,10.98,32.7665443,-86.8402863,AL,Alabama
FL,5,5.08,5.21,5.24,5.28,5.27,5.29,5.42,5.63,5.63,6.04,6.23,6.23,6.42,6.42,28.4930878,-82.47229,FL,Florida
GA,4.91,4.97,5.05,5.06,5.13,5.14,5.14,5.24,5.5,5.5,6.07,6.34,6.34,6.52,2015,32.6483231,-83.4445343,GA,Georgia
KY,9.19,9.38,9.6,9.8,9.93,10.11,10.26,10.49,10.73,10.73,11.23,11.39,11.39,11.32,11.32,37.5272331,-85.2876205,KY,Kentucky
MS,8.72,8.9,9.07,9.23,9.4,9.53,9.57,9.7,10.02,10.02,10.37,10.59,10.59,10.7,10.7,32.7239761,-89.6571732,MS,Mississippi
NC,5.66,5.81,6,6.13,6.26,6.34,6.37,6.43,6.68,6.68,6.98,7.16,7.16,7.25,7.25,35.5393448,-79.1854172,NC,North Carolina
SC,6.39,6.52,6.68,6.79,6.92,6.95,6.95,7.08,7.38,7.38,7.8,8.02,8.02,8.08,8.08,33.903862,-80.8937531,SC,South Carolina
TN,6.58,6.7,6.87,7.02,7.13,7.27,7.35,7.52,7.77,7.77,8.35,8.62,8.62,8.7,8.7,35.8430023,-86.3430481,TN,Tennessee
CT,4.19,4.25,4.33,4.38,4.45,4.53,4.63,4.71,4.75,4.75,4.93,5.05,5.05,5.13,5.13,41.5735016,-72.7383041,CT,Connecticut
MA,5.35,5.42,5.53,5.67,5.81,5.94,6.08,6.21,6.32,6.32,6.75,6.89,6.89,7.01,7.01,42.1560287,-71.5659027,MA,Massachusetts
ME,6.81,7.06,7.35,7.57,7.77,7.93,8.2,8.44,8.65,8.65,9.11,9.41,9.41,9.66,9.66,45.3152504,-69.203949,ME,Maine
NH,4.06,4.24,4.51,4.74,4.98,5.25,5.5,5.7,5.93,5.93,6.63,6.84,6.84,7.1,7.1,43.685524,-71.5775986,NH,New Hampshire
RI,5.89,5.97,6.12,6.34,6.5,6.62,6.78,6.99,7.16,7.16,7.65,7.89,7.89,8.08,8.08,41.4887123,-71.4543228,RI,Rhode Island
VT,5.07,5.18,5.34,5.49,5.65,5.85,6.12,6.38,6.67,6.67,7.23,7.51,7.51,7.75,7.75,44.0752068,-72.6626892,VT,Vermont
VA,4.39,4.47,4.59,4.71,4.85,4.96,5,5.08,5.16,5.16,5.36,5.46,5.46,5.51,5.51,37.5128212,-78.6979446,VA,Virginia
NJ,3.88,3.93,4.03,4.11,4.19,4.26,4.3,4.4,4.57,4.57,4.85,4.98,4.98,5.11,5.11,40.1387825,-74.6769104,NJ,New Jersey
NY,5.5,5.55,5.57,5.64,5.7,5.76,5.82,5.95,6.13,6.13,6.41,6.49,6.49,6.43,6.43,42.9370842,-75.6107025,NY,New York
DC,4.99,5.06,5.15,5.27,5.35,5.5,5.63,5.84,6.08,6.08,6.41,6.61,6.61,6.51,6.51,38.906189,-77.0172653,DC,District of Columbia
DE,4.5,4.67,4.85,5.14,5.3,5.4,5.55,5.66,5.89,5.89,6.06,6.18,6.18,6.22,6.22,39.0081291,-75.4674759,DE,Delaware
MD,3.62,3.66,3.75,3.88,3.99,4.07,4.15,4.3,4.45,4.45,4.8,4.94,4.94,5.09,5.09,38.9527245,-76.7012482,MD,Maryland
PA,5.45,5.64,5.86,6.05,6.23,6.43,6.58,6.74,6.88,6.88,7.3,7.54,7.54,7.67,7.67,40.8965111,-77.8387527,PA,Pennsylvania
WV,10.26,10.61,10.96,11.28,11.53,11.82,12.09,12.31,12.42,12.42,12.54,12.57,12.57,12.44,12.44,38.6424141,-80.6136169,WV,West Virginia
